s04.adv:628	即使相隔两地，我的心也永远，
s04.adv:629	在你身旁！我是音成孝一！
s04.adv:631	[Font color=0xcccccc]这个我知道啦！[/Font][pp]
s04.adv:633	啊，不好意思。
s04.adv:634	一激动就忍不住……
s04.adv:635	那个，是这样的。
s04.adv:636	我们在公寓附近搜查时，
s04.adv:637	有了一个发现。
s04.adv:639	[Font color=0xcccccc]找到什么线索了吗？[/Font][pp]
s04.adv:641	是的！找到了窃听器的[bw]接收机[/bw]！
s04.adv:642	它藏在电话亭上方的
s04.adv:643	电源装置里面……
s04.adv:645	[Font color=0xcccccc]藏起来了？[/Font][r]
s04.adv:646	[Font color=0xcccccc]接收机？[/Font][pp]
s04.adv:648	是的。而且，接收机上，
s04.adv:649	连接着一部改装过的[bw]手机[/bw]，
s04.adv:650	只要拨打这部手机……
s04.adv:651	无论身在何处，都能听到，
s04.adv:652	窃听器收集的声音！[pp_j]
s04.adv:654	[Font color=0xcccccc]什么！？[/Font][r]
s04.adv:655	[Font color=0xcccccc]无论在哪里都行！？[/Font][pp]
s04.adv:657	无论在哪里都行！
s04.adv:659	[Font color=0xcccccc]原来在哪里都能窃听啊……[/Font][pp]
s04.adv:661	就是在哪里都能听到！
s04.adv:663	[Font color=0xcccccc]好了，这个我已经明白了。[/Font][pp]
s04.adv:665	啊，还有一件事……
s04.adv:674	……嗯。……嗯。
s04.adv:675	我知道了。
s04.adv:676	那就麻烦你了。
s04.adv:678	这下麻烦了……
s04.adv:680	你听到了？
s04.adv:682	你们反复说了那么多遍，
s04.adv:683	我也大致听明白了。
s04.adv:684	也就是说，只要能打电话，
s04.adv:685	无论身在何处，都可以，
s04.adv:686	窃听矢口小姐的房间。
s04.adv:688	嗯。所以，犯人很可能
s04.adv:689	从一开始就不在南品方。
s04.adv:690	这么说来……
s04.adv:692	跟踪狂一开始就在[柄名山]，
s04.adv:693	用电话窃听矢口小姐的房间，
s04.adv:694	又给我们发来传真……
s04.adv:695	这样一来，在[神名備]亭附近作案，
s04.adv:696	也就[bw]有可能[/bw]了。
s04.adv:698	果然如此……
s04.adv:699	那矢口小姐遇害的可能性，
s04.adv:700	也变得更大了啊……
s04.adv:702	矢口小姐……
s04.adv:705	啊，对了，音成先生最后，
s04.adv:706	还说了什么？
s04.adv:708	他说已经替我们向现场负责的，
s04.adv:709	一位姓[bw][東浜][/bw]的刑警打过招呼了。
s04.adv:710	那位刑警好像就在这附近……
s04.adv:712	[東浜]先生是吧。
s04.adv:713	真想赶快听听详细情况。
s04.adv:721	……啊，有人出来了。
s04.adv:722	刚才一直缠着工作人员的男人，
s04.adv:723	似乎终于说完出来了。
s04.adv:725	居然一直说到现在。
s04.adv:726	看来是个挺难缠的人啊……
s04.adv:727	……嗯？他朝我们这边走来了。
s04.adv:729	啊，真的。
s04.adv:730	难道说……
s04.adv:736	哎呀，你们好，你们好！
s04.adv:737	我就是狭稻警署搜查一课的警部补，
s04.adv:738	[東浜]先生。
s04.adv:739	你们就是传闻中的侦探们吧！
s04.adv:740	小音成已经和我联系过了！
s04.adv:741	请多关照啊。
s04.adv:743	……啊，是的。
s04.adv:744	您、您好，初次见面。
s04.adv:745	我是侦探[白鷺洲][伊綱]。
s04.adv:747	哎呀，你的事迹我都听说过哦。
s04.adv:748	几年前那起纵火杀人案，
s04.adv:749	你也轻轻松松就解决了吧。
s04.adv:752	啊，不，那起案子的时候，
s04.adv:753	我的情况……有点特殊……
s04.adv:755	……一提到那起案子，
s04.adv:756	[伊綱]就有些吞吞吐吐啊……
s04.adv:758	嗯，那些就先不说了。
s04.adv:759	能聊几句吗？
s04.adv:762	啊，当然。
s04.adv:763	请多关照。
s04.adv:807	等等。
s04.adv:808	先听听[東浜]警部补怎么说吧。
s04.adv:814	他好像是[狭稲]警署的警部补，
s04.adv:815	不过，可能是个很难缠的人。
s04.adv:816	最好小心一点……
s04.adv:833	那么，[東浜]警部补，
s04.adv:834	关于在[神名備]亭附近发现的
s04.adv:835	那具尸体……
s04.adv:837	啊，嗯，就是这件事吧。
s04.adv:838	听说你们认识被害人？
s04.adv:840	我们就是来确认这件事的。
s04.adv:842	啊，对哦，对哦。
s04.adv:843	说得也是，说得也是啊！
s04.adv:845	那个……死者的身份，
s04.adv:846	还没有查明吗……？
s04.adv:848	可惜，遗留物品里，
s04.adv:849	没有能证明身份的东西，
s04.adv:850	所以还没法确定……
s04.adv:851	我们正在向旅馆相关人员，
s04.adv:852	还有缆车工作人员打听，
s04.adv:853	看有没有符合特征的人。
s04.adv:855	还不知道啊……
s04.adv:857	其实，我也刚到，
s04.adv:858	还没去过现场呢。
s04.adv:859	所以，我想请你们，
s04.adv:860	接下来一起过去辨认一下，
s04.adv:861	可以吗？
s04.adv:864	好，当然可以。
s04.adv:869	至于我目前，
s04.adv:870	还知道些什么……
s04.adv:871	大概就是死者是二三十岁的女性，
s04.adv:872	死因是从悬崖上[bw]坠落身亡[/bw]，
s04.adv:873	这些吧。
s04.adv:876	从悬崖上坠落……
s04.adv:878	对，对。
s04.adv:879	有游客在离观景台不远的崖下，
s04.adv:880	发现了她，然后就报了警。
s04.adv:881	所以，是意外、他杀还是自杀，
s04.adv:882	现在还不好说啊。
s04.adv:884	那个，尸体还有别的特征吗？
s04.adv:885	比如体形、发型……
s04.adv:887	嗯，更多的情况，
s04.adv:888	我现在也还不清楚呢。
s04.adv:890	这样啊……
s04.adv:897	其他的，得亲眼看到之后，
s04.adv:898	才好判断吧。
s04.adv:908	这里的通行管制这么严格，
s04.adv:909	到底是怎么回事……？
s04.adv:911	啊，这个啊。
s04.adv:912	我也觉得，
s04.adv:913	是不是有点太夸张了。
s04.adv:914	不过，通往现场的路只有两条，
s04.adv:915	封锁起来也方便，那就保护现场，
s04.adv:916	干脆全封了吧！大概就是这样。
s04.adv:917	嗯，算是顺势而为吧。
s04.adv:918	对，就是顺势而为！
s04.adv:921	顺势而为……？
s04.adv:922	不是为了把犯人，
s04.adv:923	困在现场之类的吗？
s04.adv:925	不不不！什么犯人不犯人的，
s04.adv:926	现在连是不是杀人案，
s04.adv:927	都还没弄清楚呢。
s04.adv:930	话是这么说……
s04.adv:933	真的没有别的用意吗……？
s04.adv:934	总觉得有些在意……
s04.adv:940	啊，不过缆车本来，
s04.adv:941	就有点毛病，最近几天，
s04.adv:942	一直在[bw]减少班次[/bw]。
s04.adv:944	减少班次……？
s04.adv:946	平时白天每隔十五分钟，
s04.adv:947	就会往返一趟……
s04.adv:948	最近因为要边运行边确认安全，
s04.adv:949	大概每小时，
s04.adv:950	才往返一趟吧。
s04.adv:952	交通本来就不方便，
s04.adv:953	这下更麻烦了啊。
s04.adv:955	所以，缆车工作人员，
s04.adv:956	就趁着这次通行管制，
s04.adv:957	开始进行彻底的检修了。
s04.adv:959	咦，正在检修……！？
s04.adv:960	那就是说，即使解除管制，
s04.adv:961	缆车现在也开不了？
s04.adv:963	就是这样啊。
s04.adv:964	真叫人头疼。
s04.adv:965	所以我刚才在和他们商量，
s04.adv:966	能不能临时开一下，
s04.adv:967	送我们去现场。
s04.adv:969	啊，原来如此。
s04.adv:970	刚才是这么回事啊。
s04.adv:972	嗯？什么事？
s04.adv:974	不，没什么。
s04.adv:975	那么，缆车，
s04.adv:976	能开了吗？
s04.adv:978	这个嘛……
s04.adv:979	缆车就算想开，
s04.adv:980	短时间内也开不了。
s04.adv:982	咦？这是为什么……？
s04.adv:984	据说刚才检查时才发现，
s04.adv:985	电源电路板上，
s04.adv:986	有被人[bw]动过手脚[/bw]的痕迹。
s04.adv:987	也就是说，它被人，
s04.adv:988	[bw]故意破坏[/bw]了。[pp_j]
s04.adv:991	被人破坏了！？
s04.adv:993	他们发现了一套装置，
s04.adv:994	能在设定时间到达后，
s04.adv:995	用高压电流让电路短路。
s04.adv:996	这本身也算是一起案子，
s04.adv:997	也需要调查，
s04.adv:998	所以耽误了不少时间。
s04.adv:1000	定时装置……？
s04.adv:1001	那过了设定的时间，
s04.adv:1002	缆车无论如何，
s04.adv:1003	都会停运，是吗？
s04.adv:1005	嗯，没错。
s04.adv:1006	应该就是这样。
s04.adv:1007	所以，要上山，
s04.adv:1008	就只能从登山口走山路了。
s04.adv:1009	做好准备了吗？
s04.adv:1011	哇啊……
s04.adv:1012	没想到这时候，还得爬山……
s04.adv:1015	没办法啊……
s04.adv:1022	登山道倒是没有检修，
s04.adv:1023	随时都能走。
s04.adv:1025	呜，还得爬山啊……
s04.adv:1034	……啊，等等。
s04.adv:1035	部下在叫我。
s04.adv:1036	稍等一下哦。
s04.adv:1038	好。
s04.adv:1046	……会是什么事呢。
s04.adv:1048	要是缆车修好了，
s04.adv:1049	那就再好不过了。
s04.adv:1052	[生王]先生，你也该，
s04.adv:1053	多锻炼一下身体了。
s04.adv:1055	呜。
s04.adv:1056	我也知道，可是……
s04.adv:1064	好了，久等了。
s04.adv:1065	刚刚打听到了，
s04.adv:1066	疑似死者的姓名。
s04.adv:1068	什么！？
s04.adv:1069	是、是谁……！？
s04.adv:1071	我看看啊……
s04.adv:1072	部下给了我张便条……
s04.adv:1073	这字可真潦草。
s04.adv:1074	到底怎么念啊……？
s04.adv:1075	嗯……[ll][bw]知床[/bw]……子？
s04.adv:1076	这是什么名字？[pp_j]
s04.adv:1080	难道是……矢口床子！？
s04.adv:1082	啊，原来该这么读。
s04.adv:1083	对，好像就是这个人。
s04.adv:1084	……啊，你们认识？
s04.adv:1086	怎么会……
s04.adv:1088	难道矢口小姐真的……
