s05.adv:73	晚点十八分钟才从柄名山脚下出发的
s05.adv:74	缆车，没过多久，
s05.adv:75	就抵达了观景台站。
s05.adv:77	车上只有我一个乘客。
s05.adv:78	明明没有拥挤的人潮，却还是晚点了，
s05.adv:79	难道出了什么故障？
s05.adv:81	这么想着，我在乘车途中，
s05.adv:82	向那个年轻的司机，
s05.adv:83	问起了原因……
s05.adv:84	他却只回了句“谁知道，我只是兼职的……”，
s05.adv:85	一点诚意都没有。
s05.adv:87	这可不行啊。
s05.adv:88	就算是兼职，让客人等了那么久，
s05.adv:89	这种态度也太不像话了吧。
s05.adv:91	我有点生气，于是在抵达之前，
s05.adv:92	就服务客人的态度，好好说教了他一番。
s05.adv:93	他一定觉得我是个很麻烦的客人吧。
s05.adv:95	不过，经营者到底是怎么想的？
s05.adv:96	是不是正因为这种态度，
s05.adv:97	才会弄得连客人都没有呢。
s05.adv:99	我环顾四周。
s05.adv:100	观景台站是个只有下车站台的无人站，
s05.adv:101	除了我，看不到其他人影。
s05.adv:103	虽说[神名備]亭是家隐世旅馆，
s05.adv:104	可居然连一个别的游客都没有，
s05.adv:105	实在有些冷清。
s05.adv:107	人挤人的景点只会让人疲惫，
s05.adv:108	可反过来，一个人影都看不到，
s05.adv:109	又让人提不起游玩的兴致，真难办。
s05.adv:111	旅游景点果然还是不太拥挤，
s05.adv:112	又有适度的热闹，才最理想。
s05.adv:113	嗯，我也知道自己有点任性。
s05.adv:115	那么……
s05.adv:137	总之，先去目的地[神名備]亭吧。
s05.adv:138	我离开缆车站，
s05.adv:139	朝观景台的方向走去。
s05.adv:146	这里是缆车的观景台站。
s05.adv:147	下车站台也谈不上干净，
s05.adv:148	总让人觉得有些萧条。
s05.adv:149	四周十分安静，
s05.adv:150	除了我，看不见其他人。
s05.adv:151	这实在……让人有点不安。
s05.adv:180	出了车站，正前方，
s05.adv:181	就是观景广场。
s05.adv:182	……不过，这里也没有人。
s05.adv:184	虽说叫观景台，
s05.adv:185	却并没有搭建什么高台，
s05.adv:186	似乎是把崖顶这一带都叫作“观景台”。
s05.adv:188	我走到悬崖边的栏杆前，
s05.adv:189	稍稍探出身子，眺望四周。
s05.adv:191	果然，这里的景色非常壮观。
s05.adv:192	难怪那么多人，
s05.adv:193	会专程来这里欣赏风景。
s05.adv:195	低头望去，却是让人仿佛
s05.adv:196	要被吸进去一般的悬崖绝壁。
s05.adv:198	遥远的崖底，汹涌的海浪，
s05.adv:199	不停地拍打着礁石，
s05.adv:200	激起阵阵水雾。
s05.adv:201	要是从这里掉下去，
s05.adv:202	恐怕根本不可能生还……
s05.adv:204	我不禁打了个寒战，连忙退离栏杆，
s05.adv:205	朝[神名備]亭走去。
s05.adv:213	从观景广场再往里走一小段，
s05.adv:214	被树木环抱的[神名備]亭，
s05.adv:215	就出现在眼前。
s05.adv:216	听说这家老字号旅馆由旧民居改建而成，
s05.adv:217	建筑果然古韵十足，还透着一股庄重。
s05.adv:218	虽然几年前刚刚改建过，
s05.adv:219	传统的味道却保留得恰到好处。
s05.adv:220	想必是位手艺高超的建筑师吧。
s05.adv:228	旅馆旁边还附设了一间茶馆。
s05.adv:229	只是来观景台游玩的客人，
s05.adv:230	也可以在这里歇歇脚。
s05.adv:231	房子很新，打扫得也干净……
s05.adv:232	可里面光线昏暗，又不见客人和店员，
s05.adv:233	让人不禁怀疑，到底有没有营业。
s05.adv:234	……嗯，工作日，
s05.adv:235	大概就是这样吧。
s05.adv:242	……我一边想着这些，
s05.adv:243	一边推开[神名備]亭的大门，走了进去。
s05.adv:255	欢迎您回来。
s05.adv:256	您是预订了房间的矢口女士吧？
s05.adv:259	刚走进大堂，
s05.adv:260	一位美丽的女性就迎了上来。
s05.adv:261	我回答“是”之后，她自我介绍说，
s05.adv:262	自己是这里的老板娘[bw][神名備]澪[/bw]。
s05.adv:263	身为老字号旅馆的老板娘，她相当年轻。
s05.adv:264	不过，她的一举一动，
s05.adv:265	都能让人感到细致入微的体贴。
s05.adv:266	年纪轻轻就如此干练，令人心生好感。
s05.adv:269	那么，请让我带您去房间。
s05.adv:272	……不过，话说回来，
s05.adv:273	她为什么只看了我一眼，
s05.adv:274	就知道我的名字了呢……
s05.adv:275	我带着这个疑问看向她，
s05.adv:276	她则回以温柔的微笑，
s05.adv:277	完全不让人觉得是职业性的应付。
s05.adv:278	……嗯？
s05.adv:279	这时，大堂里的一个男人吸引了我的目光。
s05.adv:290	他邋遢、粗鲁，又透着一股野蛮，
s05.adv:291	怎么看都和这家高级旅馆
s05.adv:292	格格不入，因此格外扎眼。
s05.adv:293	虽说不该以貌取人，
s05.adv:294	可他实在有点……
s05.adv:295	把这里难得的好气氛全破坏了。
s05.adv:296	不苛求着装固然是好事，
s05.adv:297	但为了其他客人着想，
s05.adv:298	也希望工作人员能提醒他一下。
s05.adv:299	……不对不对，不知不觉就开始挑毛病，
s05.adv:300	这大概也是职业病吧。
s05.adv:301	我今天是来放松的。
s05.adv:302	别在意这些细节，好好享受吧。
s05.adv:313	这里就是您今天入住的房间，
s05.adv:314	“桔梗之间”。
s05.adv:317	屋内既保留了纯正的日式韵味，
s05.adv:318	又透着现代时尚的气息，
s05.adv:319	我一眼就喜欢上了这里。
s05.adv:322	那么，麻烦您先，
s05.adv:323	填写一下这份表格。
s05.adv:326	我在房间里办理入住手续时，
s05.adv:327	决定向正在泡茶的年轻老板娘，
s05.adv:328	打听一些事情。
s05.adv:350	这间“桔梗之间”，
s05.adv:351	是神名备亭里档次最高的客房。
s05.adv:352	不愧是顶级客房，设施也无可挑剔。
s05.adv:353	而且，听说这个房间里，
s05.adv:354	还藏着一个特别的[nw]机关[/nw]。
s05.adv:355	这也是我期待的事情之一。
s05.adv:360	房间里的布置沉静雅致，
s05.adv:361	空气中飘着榻榻米和旧木的清香，
s05.adv:362	是个能让人彻底放松的空间。
s05.adv:383	本旅馆坐落于[柄名山]半山腰，
s05.adv:384	六十多年来，
s05.adv:385	一直承蒙各位客人的厚爱。
s05.adv:386	除了水量充沛的狭稻温泉，
s05.adv:387	还能同时欣赏山海美景，
s05.adv:388	也是本旅馆值得推荐的特色。
s05.adv:392	……她娴熟地向我介绍了，
s05.adv:393	旅馆和周边的情况。
s05.adv:394	她举止温和，毫不咄咄逼人，
s05.adv:395	让人感觉很舒服。
s05.adv:396	虽然年轻，想必已经历了不少磨炼。
s05.adv:404	希望您在本旅馆，
s05.adv:405	尽情放松，度过愉快的时光。
s05.adv:415	是的，我大约从四年前开始，
s05.adv:416	担任这家旅馆的老板娘。
s05.adv:420	……我对她产生了兴趣，
s05.adv:421	便尽量用轻松的语气，
s05.adv:422	问她年纪轻轻是否吃了不少苦。
s05.adv:423	聊着聊着，我发现她竟然和我同岁，
s05.adv:424	她也渐渐放下拘谨，
s05.adv:425	开始谈起自己的事情。
s05.adv:429	……哎呀，是这样啊。
s05.adv:430	不过，我也还是单身，
s05.adv:431	您不必太在意的。
s05.adv:432	哎呀……也许是工作使然，
s05.adv:433	您可真擅长引导别人说话。
s05.adv:434	我一不小心，就说多了。
s05.adv:437	……好，再多听听，
s05.adv:438	她的故事吧。
s05.adv:443	我是第四代经营者，
s05.adv:444	上一代老板四年前过世了，
s05.adv:445	我便突然接手了这里。
s05.adv:448	……四年前，正好是全国上下，
s05.adv:449	都在谈论经济不景气的时候。
