def_macro.adv:487	确定覆盖这个存档吗？
def_macro.adv:572	确定读取这个存档吗？
def_macro.adv:1052	[Font size=26]初冬的某一天——[r]
def_macro.adv:1055	[Font size=34][Output msg=%jikan][Font size=24] 左右
def_macro.adv:1096	[Font size=24]　初冬的某一天——[r]
def_macro.adv:1101	[Font size=24]点 [/Font]
def_macro.adv:1103	[Font size=24]分 [/Font]　[Font size=24]秒[/Font]
def_macro.adv:1135	生王
def_macro.adv:1140	癸生川
def_macro.adv:1145	伊纲
def_macro.adv:1150	白鹭洲
def_macro.adv:1155	鞠滨
def_macro.adv:1160	狭稻
def_macro.adv:1165	柄名山
def_macro.adv:1170	神名备
def_macro.adv:1175	东滨
def_macro.adv:1180	澪
first.adv:293	本游戏是以《侦探·癸生川凌介事件谭》系列为题材，
first.adv:294	由同人创作而成的[Font size=20 color=0xFFFF00]二次创作作品[/Font][Font size=20]。
first.adv:295	无意侵犯原作的著作权。
first.adv:296	此外，本故事[Font size=20 color=0xFFFF00]纯属虚构[/Font][Font size=20]。
first.adv:297	登场的人物、地名、团体等均为虚构。[/Font]
first.adv:382	音成登场。
first.adv:386	我叫音成孝一，今年26岁！
first.adv:391	知床小姐登场。
first.adv:392	大概会登场吧。
first.adv:395	是矢口啦，矢口！
first.adv:398	伊纲登场。
first.adv:402	要变换表情了哦。
first.adv:406	生气了吗？
first.adv:407	接下来再换一个。
first.adv:411	换好了。
first.adv:414	嗯，大致就是这样。
first.adv:415	怎么样？
first.adv:416	台词会像这样显示，
first.adv:417	没有问题吧？
first.adv:420	嗯，大致就是这样。
first.adv:421	怎么样呢？
first.adv:422	台词会像这样显示，
first.adv:423	应该没问题吧？
first.adv:426	嗯，大致就是这样。
first.adv:427	怎么样！
first.adv:428	台词会像这样显示，
first.adv:429	没有问题吧？
first.adv:438	结束。
first.adv:516	啊，你好，我是伊纲。
first.adv:517	据说这段文字，
first.adv:518	是用来检查嘴部动画的。
first.adv:519	怎么样，看得出来吗？
first.adv:520	是不是尽量说得长一些，
first.adv:521	就更容易确认了呢？
first.adv:558	大家好，我就是癸生川！
first.adv:559	不瞒你说，这段文字，
first.adv:560	正是用来检查嘴部动画的！
first.adv:561	怎么样，看得出来吗？
first.adv:562	尽量说得长一些，
first.adv:563	应该就更容易确认了吧！
first.adv:636	癸生川侦探事务所[/Font]
