s01.adv:594	呜，说得可真不留情面……
s01.adv:596	我接下来要去[bw]温泉旅行[/bw]。
s01.adv:597	看我带着行李箱，
s01.adv:598	至少也该想到“是不是去旅行”吧！
s01.adv:600	是……
s01.adv:605	是要去旅行吗？
s01.adv:607	哎呀，真敏锐！
s01.adv:608	没错，我今天接下来，
s01.adv:609	就是要去温泉旅行！
s01.adv:610	不愧是见习侦探助手！
s01.adv:611	洞察力可真强！
s01.adv:613	不，我可没打算
s01.adv:614	当什么见习助手……
s01.adv:615	不过，温泉啊，真不错。
s01.adv:618	就是开车一小时左右就能到的
s01.adv:619	[狭稲]市的[bw][狭稲]温泉乡[/bw]，
s01.adv:620	倒也不算什么长途旅行啦。
s01.adv:622	啊，是那里啊……
s01.adv:624	你去过吗？
s01.adv:626	嗯，以前调查案件的时候去过……
s01.adv:628	啊，对哦！
s01.adv:635	[狭稲]温泉乡离市区近，自然风光又好，
s01.adv:636	是个挺不错的温泉胜地呢。
s01.adv:644	……咦？
s01.adv:645	难道说……
s01.adv:647	嗯？怎么啦？
s01.adv:649	你说接下来要去
s01.adv:650	[狭稲]温泉乡旅行，
s01.adv:651	难道是去卖生大福的那家旅馆……？
s01.adv:653	哈哈，你还挺敏锐的嘛！
s01.adv:654	不过很遗憾，我今天要去的，
s01.adv:655	是另一家旅馆。
s01.adv:657	啊，原来不是。
s01.adv:659	叫[bw][神名備]亭[/bw]，
s01.adv:660	也是一家历史悠久的高级温泉旅馆！
s01.adv:661	这次我可是下了血本！
s01.adv:663	高级老字号旅馆！
s01.adv:664	真厉害，看来你最近收入不错啊。
s01.adv:673	倒是你，[生王]先生，今天有什么事？
s01.adv:675	啊，嗯。
s01.adv:676	就是想来看看，
s01.adv:677	有没有什么有趣的事……
s01.adv:679	哎呀，什么嘛。
s01.adv:680	同样是自由职业者，
s01.adv:681	你们游戏行业可真清闲啊。
s01.adv:683	不不，这个嘛，
s01.adv:684	我就是为了不再清闲，
s01.adv:685	才特意跑过来的……
s01.adv:687	哈哈，原来如此。
s01.adv:688	是来找素材的啊。
s01.adv:690	好了，别说这个了！
