s02.adv:650	发动袭击，也有这种可能。
s02.adv:653	嗯，就是这么回事。
s02.adv:654	不愧是你，反应很快嘛。
s02.adv:658	我装作没有察觉，
s02.adv:659	悄悄把窃听器拆下来了……
s02.adv:660	不过，我们来这里调查的事，
s02.adv:661	最好还是当作，
s02.adv:662	已经被对方知道了。
s02.adv:664	这样啊……
s02.adv:665	啊，其他地方没问题吗？
s02.adv:666	窃听器可不一定只有一个。
s02.adv:669	说得对，再找找其他地方吧。
s02.adv:670	不过，要是还有别的窃听器，
s02.adv:671	我刚才那番掩饰就完全白费了。
s02.adv:678	听说电视是新买的，
s02.adv:679	我想插线板也可能是最近添置的，
s02.adv:680	便检查了一下，果然如此。
s02.adv:682	可窃听器藏在插线板里面，
s02.adv:683	一般人根本注意不到吧。
s02.adv:687	这样既不用担心电源，
s02.adv:688	又容易混进各种住宅里，
s02.adv:689	所以是种常见的手法。
s02.adv:691	是、是吗。
s02.adv:692	这世道真可怕啊。
s02.adv:694	顺便一提，这次发现的窃听器，
s02.adv:695	是把收集到的声音，
s02.adv:696	[bw]通过无线电传到附近[/bw]的类型。
s02.adv:698	传到附近？
s02.adv:699	也就是说，犯人就在这附近，
s02.adv:700	接收窃听到的声音？
s02.adv:703	很有可能。
s02.adv:704	不过，首先要弄清楚的，
s02.adv:705	是矢口小姐从哪儿弄来这块插线板。
s02.adv:707	对啊，从那里追查就行了。
s02.adv:708	回头得问问她。
s02.adv:715	我们得问问矢口小姐，
s02.adv:716	安装电视时是什么情况。
s02.adv:726	会不会藏在
s02.adv:727	梳妆台附近？
s02.adv:729	……我检查过了，
s02.adv:730	应该没有异常。
s02.adv:731	不过，只用了一点点的化妆品，
s02.adv:732	可真不少啊。
s02.adv:733	……算了，这和调查无关。
s02.adv:735	大概是一有新产品，
s02.adv:736	不试试就不甘心吧。
s02.adv:737	……不，这和调查没关系。
s02.adv:746	床底下也没问题吗？
s02.adv:748	呀，居然想在床边窃听，太差劲了！
s02.adv:749	能想到这么龌龊的事，
s02.adv:750	[生王]先生真是个超级大变态！
s02.adv:752	你这故意装出来的语气是怎么回事。
s02.adv:756	啊，你刚才在想象吧。
s02.adv:758	没有，我可没……
s02.adv:761	床的周围没问题。
s02.adv:762	让你失望了。
s02.adv:764	我才没失望！
s02.adv:765	没事就好！
s02.adv:774	我不是说了没问题吗……
