s04.adv:68	这是台词测试啊啊啊啊啊啊啊。
s04.adv:69	主要只是确认姓名的颜色。
s04.adv:70	咔呸呸呸呸呸呸呸呸呸。
s04.adv:130	这里就是[柄名山]山脚下的
s04.adv:131	缆车乘车处，
s04.adv:132	旅馆“[神名備]亭”就在山上。
s04.adv:134	游客好像并不多，
s04.adv:135	可不知为什么，总觉得四周，
s04.adv:136	弥漫着一股紧张的气氛……
s04.adv:138	警方似乎已经来了，
s04.adv:139	正在实施[bw]通行管制[/bw]。
s04.adv:140	大概是因为这个吧。
s04.adv:142	原来如此。
s04.adv:143	警察到处走来走去，
s04.adv:144	确实会让人紧张啊。
s04.adv:145	那么……
s04.adv:177	狭稻温泉乡泉水充沛，
s04.adv:178	又被山海美景环抱，
s04.adv:179	是个很受欢迎的旅游胜地。
s04.adv:180	不过，这里离中心区域有些远，
s04.adv:181	加上今天是工作日，
s04.adv:182	确实没看到多少游客。
s04.adv:183	眼前是缆车乘车处，
s04.adv:184	以及配套的停车场，再往里面走，
s04.adv:185	似乎还有通往山路的登山口。
s04.adv:190	缆车乘车处和登山口都有警察，
s04.adv:191	正在管制通行，
s04.adv:192	大概因此才显得有些紧张。
s04.adv:218	这条缆车线路往返于
s04.adv:219	[柄名山]山脚下，
s04.adv:220	以及观景台站之间。
s04.adv:221	乘坐这趟缆车，
s04.adv:222	似乎很快就能抵达，
s04.adv:223	观景台附近的[神名備]亭。
s04.adv:224	不过……我刚才去看了，
s04.adv:225	入口现在被封锁了，
s04.adv:226	没办法乘车。
s04.adv:232	成人票价每人500日元，
s04.adv:233	不过，[神名備]亭的住客似乎免费。
s04.adv:234	……咦？
s04.adv:236	嗯？
s04.adv:239	乘车处的屋子里，
s04.adv:240	有个中年男人好像正在，
s04.adv:241	和工作人员争执……
s04.adv:243	是不是缆车停运了，
s04.adv:244	普通游客在投诉啊。
s04.adv:247	大概是吧。
s04.adv:248	负责封锁的警员也别光看着，
s04.adv:249	去劝劝架不就好了……
s04.adv:251	可能他们觉得，
s04.adv:252	这不在自己的职责范围内吧。
s04.adv:254	是这样吗……
s04.adv:259	……还在吵啊。
s04.adv:260	到底在干什么呢。
s04.adv:262	真够执着的。
s04.adv:267	这是通往半山腰的缆车。
s04.adv:268	成人每人500日元，
s04.adv:269	[神名備]亭的住客似乎可以免费乘坐。
s04.adv:275	唔……
s04.adv:276	只是为了保护现场，
s04.adv:277	有必要管制得这么严吗？
s04.adv:279	确实感觉有些小题大做。
s04.adv:281	这么说，果然是……
s04.adv:288	不让通行，
s04.adv:289	会不会是在施工啊？
s04.adv:292	咦？
s04.adv:293	你是认真的吗？
s04.adv:294	负责封锁的可是警察啊。
s04.adv:296	啊，不，我只是说有这个可能。
s04.adv:297	还有什么别的可能呢……？
s04.adv:302	是因为不能让人靠近现场，
s04.adv:303	所以才封锁的吧。
s04.adv:306	嗯，应该也有这个原因……
s04.adv:307	不过，连登山口都封锁得这么严，
s04.adv:308	似乎还有别的理由。
s04.adv:310	唔，这样啊。
s04.adv:311	比如说……？
s04.adv:314	比如，有什么理由，
s04.adv:315	让他们必须把现场的人，
s04.adv:316	全都留在那里……之类的。
s04.adv:319	也就是说……
s04.adv:320	为了防止有人从山上逃走？
s04.adv:322	如果是他杀，现在山上的某个人，
s04.adv:323	就很可能是凶手。
s04.adv:325	唔唔唔……
s04.adv:328	不过，这也只是一种可能。
s04.adv:334	缆车和登山口都封锁了，
s04.adv:335	难道是为了，
s04.adv:336	把山上的人全都留住？
s04.adv:339	也就是说，
s04.adv:340	为了防止现场的人逃走？
s04.adv:341	那岂不是……
s04.adv:343	山上发现的死者是被人杀害的，
s04.adv:344	而且凶手很可能还在山上……
s04.adv:345	是不是这个意思？
s04.adv:347	有这个可能。
s04.adv:348	但愿事情不会
s04.adv:349	变得太麻烦……
s04.adv:359	既然有登山口，
s04.adv:360	是不是不坐缆车，
s04.adv:361	也能去[神名備]亭？
s04.adv:363	看来是的。
s04.adv:364	不过，登山口现在也[bw]禁止通行[/bw]，
s04.adv:365	进不去了。
s04.adv:371	这条山路能从山脚，
s04.adv:372	步行到半山腰的[神名備]亭。
s04.adv:382	汽车没法开上[柄名山]，
s04.adv:383	为了方便大家换乘缆车，
s04.adv:384	才在这里设了停车场。
s04.adv:386	就是说，即使开车来，
s04.adv:387	也得把车停在这里，再换乘缆车，
s04.adv:388	才能去[神名備]亭？
s04.adv:390	看来是这样。
s04.adv:392	车不能直接开到旅馆门口，
s04.adv:393	不会很不方便吗？
s04.adv:396	不过，稍微有点不方便，
s04.adv:397	反而更有深山温泉旅馆的感觉，
s04.adv:398	也许这也是它的魅力吧。
s04.adv:400	游客倒是无所谓，
s04.adv:401	可工作人员应该很辛苦吧。
s04.adv:402	毕竟还得运送食材之类的。
s04.adv:403	……啊，既然旅馆住客的车，
s04.adv:404	都停在这里，
s04.adv:405	那会不会也有[nw]矢口小姐的车[/nw]？
s04.adv:408	说得对。
s04.adv:409	我看看……
s04.adv:410	……哦，找到了。
s04.adv:411	是她常开的那辆红色小型车。
s04.adv:413	这样啊。
s04.adv:414	她果然来这里了……
s04.adv:419	停车场里，
s04.adv:420	好像停着好几辆车……
s04.adv:421	……嗯？咦？
s04.adv:423	怎么了？
s04.adv:425	停在那边的那辆车……
s04.adv:426	是[bw]黄色厢式车[/bw]啊。[pp_j]
s04.adv:429	啊！真的！
s04.adv:431	而且还是[鞠浜]的车牌……
s04.adv:432	有点可疑啊。
