いいえ	否
つづきから	继续游戏
は　い	是
はじめから	开始游戏
サウンドを止める	关闭声音
サウンドを鳴らす	开启声音
タイトル画面に戻る	返回标题
メッセージログ参照	查看对话记录
午前	上午
午後	下午
４章デバッグモード	第四章调试模式
５章デバッグモード	第五章调试模式
品方市 リブリエ南品方	品方市 利布里南品方
品方市 リブリエ南品方前	品方市 利布里南品方门前
柄名山中腹 展望台駅	柄名山腰 观景台站
狭稲市 柄名山ふもと	狭稻市 柄名山脚
癸生川探偵事務所	癸生川侦探事务所
鞠浜市 癸生川探偵事務所	鞠滨市 癸生川侦探事务所
午前10時43分	上午10时43分
午後0時04分	下午12时04分
午後0時07分	下午12时07分
午後0時48分	下午12时48分
午後2時12分	下午2时12分
(捜査記録)	（调查记录）
うっかりしてたのをごまかしたんだな	想掩饰自己的疏忽吧
お茶菓子のこと	关于茶点
さいご	最后
さいしょから	从头开始
そっちの事件	你那边的案子
どうしておとなしくさせようとした？	为何要我们保持安静？
どうして僕らが探偵だとわかった？	为何知道我们是侦探？
どうして矢口さんの行き先を知ってた？	为何知道矢口的去向？
どうして話を聞いてた？	为何偷听我们说话？
アナログ放送とか言ったからか	因为提到了模拟信号？
キャラテスト	角色测试
ケーブルカー	缆车
ケーブルカーも登山口も工事中？	缆车和登山口都在施工？
コマンドから	从菜单开始
サブタイから	从章节标题开始
サブタイトル	章节标题
ショッピングにでも行くの？	要去购物吗？
ストーカー	跟踪狂
スーツケース	行李箱
セーブ	保存进度
テストモード	测试模式
テーブル	桌子
デスク	书桌
トークテスト	对白测试
ドレッサー	梳妆台
パソコン	电脑
ベッド	床
マンション	公寓楼
マンション前から	从公寓门前开始
メッセージログ	对话记录
ロード	读取进度
上にいる人を降ろさせないため？	不让山上的人下来？
事務所フェード	事务所淡入淡出
事務所上下	事务所上下移动
事務所内	事务所内
事務所前	事务所门前
交通規制	交通管制
伊綱のこと	关于伊纲
伊綱コマンド	伊纲菜单
伊綱登場から	从伊纲登场开始
伊綱表情テスト	伊纲表情测试
入口のドア	房门
出かけ先のこと	关于出门的去向
前髪のこと	关于刘海
品方市	品方市
場所移動	移动
旅行にでも行くの？	要去旅行吗？
最近のこと	最近的情况
本棚	书架
東浜から	从东滨开始
東浜警部補	东滨警部补
柄名山	柄名山
桔梗の間	桔梗之间
桔梗の間のこと	关于桔梗之间
液晶テレビ	液晶电视
澪のこと	关于澪
澪の仕事のこと	关于澪的工作
澪の恋愛のこと	关于澪的恋爱
現場に人を行かせないため？	不让人前往现场？
生大福のこと	关于生大福
画面全体出す	显示全画面
画面全体消す	清除全画面
癸生川のこと	关于癸生川
癸生川テスト	癸生川测试
癸生川後コマ	癸生川之后的菜单
癸生川登場から	从癸生川登场开始
発見された死体	发现的遗体
登山口	登山口
白鷺洲伊綱	白鹭洲伊纲
矢口のこと	关于矢口
矢口の車	矢口的车
矢口の部屋	矢口的房间
矢口のマンション	矢口的公寓
矢口床子	矢口床子
神名備亭	神名备亭
私のこと	关于我
第１章から	从第一章开始
第２章から	从第二章开始
第３章から	从第三章开始
第４章から	从第四章开始
第５章から	从第五章开始
聞かれてるかもしれないからか	因为可能被偷听？
聞き込み	打听情况
背景テスト	背景测试
英会話教室でも行くの？	要去上英语会话课吗？
話す	交谈
話すと音成電話	交谈后林居来电
調べる	调查
辺り見回す	环顾四周
部屋の中から	从房间里开始
部屋コマンド	房间菜单
郵便受け	信箱
電話かける	打电话
電話する	打电话
電話機	电话机
電話鳴りから	从电话响起开始
音成行ってから	从林居离开后开始
駐車場	停车场
黄色いワゴン	黄色厢式车
黒	黑屏
１章の最初から	第一章开头
２章の最初から	第二章开头
３章の最初から	第三章开头
４章の最初から	第四章开头
最初から	从头开始
話すと音成	交谈后转入林居段落
５章最初から	第五章开头
神名備亭から	从神名备亭开始
澪会話から	从澪的对白开始
矢口と話す	与矢口交谈
話す-矢口	交谈－矢口
机	书桌
矢口	矢口
展望台駅	观景台站
展望台	观景台
神名備亭前	神名备亭门前
神名備亭　ロビー	神名备亭 大厅
神名備亭　客室	神名备亭 客房
柄名山ふもと	柄名山脚
リブリエ南品方前	利布里南品方门前
探偵事務所前	侦探事务所门前
探偵事務所内	侦探事务所内
