s01.adv:1214	碰上这种事，谁都会害怕。
s01.adv:1217	矢口小姐，
s01.adv:1218	冒昧问一句，你对那个人的身份，
s01.adv:1219	有没有什么头绪？
s01.adv:1221	头绪？
s01.adv:1224	比如说……最近有没有
s01.adv:1225	被你单方面甩掉的男人……？
s01.adv:1227	咦！？
s01.adv:1228	没有啦，哪有那种事！！
s01.adv:1230	或者，最近有没有和前男友重逢，
s01.adv:1231	又或是被对方知道了
s01.adv:1232	你的联系方式……？
s01.adv:1234	这种事，
s01.adv:1235	大概和我无缘吧。
s01.adv:1237	最近认识的男人里，
s01.adv:1238	有没有谁在暗中喜欢你……？
s01.adv:1240	唔……
s01.adv:1241	我想应该也没有……
s01.adv:1244	我之所以这么问，
s01.adv:1245	是因为跟踪骚扰大多
s01.adv:1246	是熟人所为。
s01.adv:1248	是这样吗？
s01.adv:1250	素不相识的人突然盯上你……
s01.adv:1251	这种情况并不多见。
s01.adv:1253	原来如此。
s01.adv:1254	就是因为对对方有些执念，
s01.adv:1255	才会做出这种事啊。
s01.adv:1257	那看来，也许真的
s01.adv:1258	只是我想多了吧。
s01.adv:1260	但愿如此……
s01.adv:1265	不能请警察调查一下吗？
s01.adv:1267	我倒是去过派出所，
s01.adv:1268	找他们咨询过……
s01.adv:1270	警察那边，没有明确的损害，
s01.adv:1271	就没法采取行动吧。
s01.adv:1273	对，他们也是这么说的。
s01.adv:1274	可等真出了事，
s01.adv:1275	不就已经晚了吗！
s01.adv:1277	说得也是……
s01.adv:1280	前几天，我还在新闻上看到，
s01.adv:1281	东京都内发生了跟踪狂杀人案。
s01.adv:1282	真希望他们能多上点心啊。
s01.adv:1284	不会吧。太可怕了！
s01.adv:1286	不过，事先取证也确实困难，
s01.adv:1287	没有确切的证据，
s01.adv:1288	就连提出控告也很难……
s01.adv:1294	嗯，要真是我想多了，
s01.adv:1295	那当然最好……
s01.adv:1299	嘴上这么说，
s01.adv:1300	其实你还是很在意吧？
s01.adv:1302	呜……真敏锐，不愧是你。
s01.adv:1303	可是，我又拿不出
s01.adv:1304	任何确切的证据……
s01.adv:1306	好了好了，太过担心，
s01.adv:1307	是不是也不太好啊。
s01.adv:1308	矢口小姐，你最近工作这么拼，
s01.adv:1309	也许是太累了，有些敏感……
s01.adv:1310	会不会也有这种可能？
s01.adv:1312	嗯，我自己也这么想过。
s01.adv:1313	其实，这次旅行，
s01.adv:1314	也是朋友觉得我该放松一下，
s01.adv:1315	才邀请我一起去的。
s01.adv:1318	啊，原来如此。
s01.adv:1319	先去换换心情，
s01.adv:1320	也许是个好办法。
s01.adv:1322	这次可是花了不少钱呢！
s01.adv:1323	我要好好享受一下！
s01.adv:1329	旅行回来，心情一放松，
s01.adv:1330	也许就不在意了！
s01.adv:1335	难道我知道了什么秘密，
s01.adv:1336	所以被人盯上了……？
s01.adv:1337	讨厌，听他这么一说，
s01.adv:1338	我又开始不安了……
s01.adv:1341	是啊……
s01.adv:1344	好，我明白了！
s01.adv:1345	趁矢口小姐去旅行这段时间，
s01.adv:1346	我来帮你调查一下吧！
s01.adv:1348	咦，真的吗！？
s01.adv:1349	可以吗！？
s01.adv:1352	有困难的可是知床小姐，
s01.adv:1353	我怎么能不管呢。
s01.adv:1354	就交给我吧。
s01.adv:1356	谢谢！你可帮大忙了！
s01.adv:1357	不过，我姓矢口啦！
s01.adv:1363	要是你允许我进屋，
s01.adv:1364	我还可以顺便检查有没有窃听器，
s01.adv:1365	或者偷拍摄像头。
s01.adv:1367	谢谢！
s01.adv:1368	那就麻烦你了。
s01.adv:1369	不过，要真找到了，
s01.adv:1370	也挺让人害怕的……
s01.adv:1379	带回来当伴手礼啊……
s01.adv:1380	我是很想买给你，
s01.adv:1381	可不知道能不能买到……
s01.adv:1383	那个，果然很难买到吗？
s01.adv:1385	唔……
s01.adv:1386	店里的人应该会给我点面子，
s01.adv:1387	可预约好像已经满了……
s01.adv:1388	不过，我也想让[伊綱]尝尝，
s01.adv:1389	就尽力争取一下吧！
s01.adv:1392	太好了！
s01.adv:1393	嘿嘿。
s01.adv:1399	我会去问问，
s01.adv:1400	不过别抱太大的期待哦。
s01.adv:1415	哇哈哈哈哈哈哈！
s01.adv:1416	怎么样，我回来啦！！
s01.adv:1420	什、什么人？笑得这么夸张！
s01.adv:1422	看来是老师回来了。
s01.adv:1431	哦，这不是山口小姐吗！
s01.adv:1432	好久不见，我等你很久了！！
s01.adv:1435	咦？你是在叫我？
s01.adv:1436	是矢口，矢口！就差一点啦！
s01.adv:1440	这个先不提！
s01.adv:1442	怎么能不提！
s01.adv:1444	哦，她还不肯罢休。
s01.adv:1449	他就是这家侦探事务所的所长，
s01.adv:1450	[bw][癸生川]凌介[/bw]。
s01.adv:1451	他总是充满自信，无论面对谁，
s01.adv:1452	都坚持自己的节奏，却又令人惊讶地，
s01.adv:1453	解决了无数棘手案件，是位名侦探。
s01.adv:1454	自信满满、笑里藏针、旁若无人、洒脱不羁，
s01.adv:1455	独一无二、自由奔放……这些词，
s01.adv:1456	都能用来形容这个罕见的人物。
s01.adv:1462	好了，先不说这些。
s01.adv:1463	你的事我都听到了，小矢矢！
s01.adv:1465	那是谁啊。
s01.adv:1467	你是记者，对吧？
s01.adv:1469	是、是啊！
s01.adv:1471	平时没少四处采访，
s01.adv:1472	到处调查吧？
s01.adv:1474	那是当然。
s01.adv:1476	也就是说，跟踪这种
s01.adv:1477	行为（koui），未必出于
s01.adv:1478	好意（koui）！
s01.adv:1480	啊！
s01.adv:1482	行为（koui），未必出于
s01.adv:1483	好意（koui）！
s01.adv:1485	干吗说两遍啊。
s01.adv:1486	你很喜欢这个谐音梗吗？
s01.adv:1488	没错，你注意到了重点！
s01.adv:1490	……矢口小姐吐槽起来也真犀利。
s01.adv:1493	所以，你是不是无意中，
s01.adv:1494	知道了什么重大的秘密？
s01.adv:1496	咦？
s01.adv:1498	老师，您的意思是……
s01.adv:1499	矢口小姐掌握了某些
s01.adv:1500	不该知道的信息，[ll]所以才有人
s01.adv:1501	盯上她……是这样吗？
s01.adv:1503	不会吧……
s01.adv:1505	我只是说有这个可能。
s01.adv:1506	怎么样？
s01.adv:1508	咦……
s01.adv:1509	怎么会……
s01.adv:1510	不…………
s01.adv:1511	可是，我最近只写了美食报道，
s01.adv:1512	根本不知道什么
s01.adv:1513	危险的秘密啊。[ll]……大概吧。
s01.adv:1516	是吗，那就好。
s01.adv:1518	咦，他居然这么轻易，
s01.adv:1519	就放弃追问了。
s01.adv:1521	好了，先不说这个……
s01.adv:1522	看你这副打扮，
