s02.adv:85	这里就是[bw]利布里南品方[/bw]了。
s02.adv:87	哇，她住的地方可真不错。
s02.adv:89	[生王]先生，你从刚才起，
s02.adv:90	说话就一直酸溜溜的。
s02.adv:92	呃……
s02.adv:93	我会注意的……
s02.adv:121	[生王]先生，你也太心急了。
s02.adv:122	我觉得先在附近调查一下，
s02.adv:123	再进去也不迟。
s02.adv:130	那我们去矢口小姐住的
s02.adv:131	903号房看看吧。
s02.adv:143	南品方原本是个不起眼的郊外住宅区，
s02.adv:144	最近随着再开发不断推进，
s02.adv:145	突然受到了大家的关注。
s02.adv:146	这里也有直达市中心的铁路，
s02.adv:147	大家大概终于发现，
s02.adv:148	原来这地方还挺方便的吧……
s02.adv:149	能早早选中这样的地方，
s02.adv:150	真不愧是消息灵通的矢口小姐。
s02.adv:155	这栋公寓周围行人不多，
s02.adv:156	倒像个适合居住的隐秘好去处，
s02.adv:157	不过……跟踪起来也可能更方便。
s02.adv:176	是一栋看起来很新的高层公寓。
s02.adv:177	主要都是面积不大的，
s02.adv:178	适合独居的小户型。
s02.adv:192	矢口小姐说过，她觉得自己的信箱，
s02.adv:193	好像被人翻动过吧……
s02.adv:195	是啊。
s02.adv:196	我们检查一下吧。
s02.adv:203	这栋公寓的信箱，
s02.adv:204	连取信口也设在
s02.adv:205	门禁外面。
s02.adv:207	啊，就是那种要转动密码锁，
s02.adv:208	才能打开的信箱？
s02.adv:210	没错。
s02.adv:211	有些人嫌每次开锁麻烦，
s02.adv:212	就干脆不锁……
s02.adv:213	不过，矢口小姐倒是
s02.adv:214	好好锁着呢。
s02.adv:216	嗯，那是当然的吧。
s02.adv:219	信箱上没有写名字，
s02.adv:220	假如犯人真的翻过她的信箱，
s02.adv:221	就说明对方也知道她的房号。
s02.adv:223	真可怕……
s02.adv:225	大致就是这些。
s02.adv:226	没发现什么
s02.adv:227	特别的异常。
s02.adv:232	没发现什么异常。
s02.adv:240	矢口小姐的房间，
s02.adv:241	在九楼的[bw]903号房[/bw]。
s02.adv:243	九楼啊。
s02.adv:244	采光一定很好，真不错。
