s01.adv:97	大家好。
s01.adv:98	我是负责本作剧本的
s01.adv:99	[bw][生王]正生[/bw]。
s01.adv:100	首先，感谢各位
s01.adv:101	选择游玩这部作品。
s01.adv:103	这次，我们采用了
s01.adv:104	基于[Font color=0xffff00]FLASH[/Font]的游戏系统，
s01.adv:105	以系列番外篇的形式，
s01.adv:106	为大家带来一段短小的故事。
s01.adv:108	故事发生在K县的狭稻温泉，
s01.adv:109	一个悲伤与憎恨交织的旅游胜地。
s01.adv:110	我的熟人，记者[bw]矢口床子[/bw]，
s01.adv:111	也被深深卷入了这起事件。
s01.adv:113	那么，
s01.adv:114	《侦探·[癸生川]凌介事件谭》系列番外篇，
s01.adv:115	[bw]《狭稻温泉乡杀人事件》[/bw]。
s01.adv:116	——请各位尽情享受。
s01.adv:130	我叫[bw][生王]正生[/bw]。
s01.adv:131	是一名自由游戏编剧。
s01.adv:132	主要的工作，就是把在熟人的侦探事务所
s01.adv:133	遇到的案件加以改编，写成游戏剧本。
s01.adv:134	不，这可绝不是偷懒。
s01.adv:135	毕竟游戏也能替他们打广告，
s01.adv:136	我们可是实打实的互惠互利。
s01.adv:137	容我再强调一遍，
s01.adv:138	是互惠互利的关系。
s01.adv:148	于是，今天我又来到了位于[鞠浜]台的
s01.adv:149	[Font color=0xffff00][癸生川]侦探事务所[/Font]。
s01.adv:151	不知道[伊綱]在不在……
s01.adv:161	……咦？没人吗？
s01.adv:167	喂——！有人吗？
s01.adv:169	……来啦！
s01.adv:170	这就开门！
s01.adv:172	嗯！？这个声音是……
s01.adv:186	哎呀！果然是[生王]先生！
s01.adv:187	好久不见！
s01.adv:188	快请进！
s01.adv:191	果然是矢口小姐。
s01.adv:192	你怎么会在这里……？
s01.adv:198	她叫[bw]矢口床子[/bw]。
s01.adv:199	是一名自由女记者，
s01.adv:200	我们是在过去的一起案件中认识的。
s01.adv:201	大家把她姓名中的“矢口”合成“知”，
s01.adv:202	叫她“知床小姐”，颇为亲昵。[l]……不过，
s01.adv:203	与其说亲昵，不如说她总是被大家拿来打趣。
s01.adv:209	我有点事想找[伊綱]聊聊，
s01.adv:210	就趁出门的机会顺路过来了！
s01.adv:211	其实，我还是第一次
s01.adv:212	来这间事务所呢，有点兴奋！
s01.adv:213	真厉害！这可是货真价实的侦探事务所啊！！
s01.adv:216	是、是吗。
s01.adv:217	那就好……
s01.adv:254	虽然是熟悉的事务所，
s01.adv:255	不过在这里见到矢口小姐，倒还是头一回。
s01.adv:256	气氛似乎有些不一样。
s01.adv:261	感觉这里的气氛和平时不太一样。
s01.adv:262	不知怎么，我也跟着紧张起来了……
s01.adv:279	以前的调查档案
s01.adv:280	整整齐齐地排列着。
s01.adv:281	虽然很想看，但我当然不能
s01.adv:282	擅自翻阅。
s01.adv:283	……绝对不行啊，生王正生。
s01.adv:288	反倒是这样毫无防备地摆着，
s01.adv:289	让我忍不住怀疑，
s01.adv:290	这是不是在考验我的自制力。
s01.adv:298	自从[伊綱]占领了这张桌子，
s01.adv:299	桌面好像也整洁了不少。
s01.adv:308	怎么说呢，比起平时工作时的打扮，
s01.adv:309	她今天更时髦了一些……不，应该说，
s01.adv:310	她明显是精心挑选过这身衣服。
s01.adv:311	她说一会儿要出门，
s01.adv:312	究竟打算去哪里呢？
s01.adv:313	……嗯？
s01.adv:314	她坐着的椅子旁边，
s01.adv:315	放着一个红色的[nw]行李箱[/nw]。
s01.adv:316	这么说来，一定是……
s01.adv:321	整整齐齐的刘海，
s01.adv:322	已经可以算是她的标志了。
s01.adv:330	是一个适合单人出行的红色行李箱。
s01.adv:331	几乎看不出使用过的痕迹，
s01.adv:332	应该是刚买的吧。
s01.adv:354	话说，[伊綱]去哪儿了？
s01.adv:355	怎么把你一个人留在事务所里……
s01.adv:357	她刚才还在给我泡红茶呢……
s01.adv:358	结果突然喊了一声“没有茶点了！”，
s01.adv:359	话音刚落就冲出去了。
s01.adv:361	这样啊，看来我和她错过了。
s01.adv:362	不过，她这言行举止，
s01.adv:363	怎么越来越像某个人了……
s01.adv:366	嗯，我想她应该很快就回来了！
s01.adv:375	[癸生川]在这里吗？
s01.adv:377	谁知道呢……？
s01.adv:378	我今天没见到他。
s01.adv:379	应该不在吧？
s01.adv:381	不，那家伙可是神出鬼没的。
s01.adv:382	谁也不知道他藏在哪儿，
s01.adv:383	一不留神就会被突然冒出来的他吓一跳！
s01.adv:385	听你说的，简直像在说蟑螂。
s01.adv:386	可怕的是，我居然还觉得很有道理！
s01.adv:391	其实，我和他直接见面的次数，
s01.adv:392	并没有那么多。
s01.adv:394	啊，是这样吗？
s01.adv:396	不过，他这个人冲击力太强了，
s01.adv:397	所以我才会印象深刻。
s01.adv:408	对了，矢口小姐，最近怎么样？
s01.adv:410	什么嘛，问得这么敷衍！
s01.adv:411	不过嘛，
s01.adv:412	工作倒是挺顺利的！
s01.adv:414	哦，那可真不错。
s01.adv:415	最近都在做些什么？
s01.adv:417	我会给各地发行的社区报刊，
s01.adv:418	还有资讯网站，
s01.adv:419	写一些专栏和报道。
s01.adv:420	往后啊，这些可比一般杂志更有前途！
s01.adv:421	这就是信息技术革命！
s01.adv:422	时代变革的浪潮真的来了！
s01.adv:424	……是、是吗。
s01.adv:425	怎么感觉你现在才意识到，有点晚了……
s01.adv:427	哎呀，你可别小看出版业的守旧程度！
s01.adv:428	一大堆人还停留在纸笔时代，
s01.adv:429	压根儿就不想改变老办法。
s01.adv:431	这样啊。
s01.adv:432	说起来，这里的侦探，
s01.adv:433	也是那一类人呢。
s01.adv:435	你看，我连相机都换成数码单反了！
s01.adv:436	特别方便！
s01.adv:438	哦，最新款啊。真不错……
s01.adv:439	看你买了这些，确实能感觉到，
s01.adv:440	你正顺风顺水呢。[ll]真的。
s01.adv:442	也算是为今后投资啦。
s01.adv:443	往后拼的就是信息的速度！
s01.adv:448	托工作的福，我最近连电视
s01.adv:449	都换新的了！
s01.adv:450	液晶的哦，液晶！特别薄！
s01.adv:451	对了，你知道地面数字电视吗？
s01.adv:452	现在的模拟电视信号，
s01.adv:453	再过五年左右就要停播了！这可是大事啊！
s01.adv:455	我、我知道……
s01.adv:456	她真是兴奋得不得了。
s01.adv:457	日子过得这么红火，真让人羡慕。
s01.adv:459	哎呀，不好意思。
s01.adv:460	我太激动了！
s01.adv:461	不过，最近工作上，
s01.adv:462	确实碰上了件好事！
s01.adv:464	哦？我倒想听听。
s01.adv:469	就在前不久，我发表在资讯网站上的
s01.adv:470	一篇美食报道，
s01.adv:471	可是引起了不小的反响呢！
s01.adv:473	哦？介绍的是什么美食？
s01.adv:475	[bw][狭稲]温泉乡[/bw]的一家旅馆，
s01.adv:476	最近开始卖一种叫[bw]生大福[/bw]的点心。
s01.adv:477	那味道，简直好吃得不得了！！
s01.adv:478	我当时就觉得，这肯定会成为当地的新招牌！
s01.adv:479	所以第一个注意到了它，
s01.adv:480	还专门写了篇报道来介绍！
s01.adv:481	结果，以那篇报道为契机，
s01.adv:482	它一下子火了起来，还上了电视，
s01.adv:483	如今可是掀起了一股小热潮呢！
s01.adv:484	这东西本来就没法大量制作，
s01.adv:485	现在就算想订购，
s01.adv:486	订单也已经排到好几个月之后了！
s01.adv:488	哦，那可真厉害！
s01.adv:489	你这次干得漂亮啊。
s01.adv:491	我跟你说，
s01.adv:492	我们以前吃过的那些大福，
s01.adv:493	已经过时了！
s01.adv:494	你可能觉得我在夸张，
s01.adv:495	但那豆沙馅儿一入口就化了！
s01.adv:496	你能想象吗！？
s01.adv:497	外面再裹上一层弹韧的糯米皮，
s01.adv:498	咬下去的口感真是绝了，
s01.adv:499	先是软糯，接着便在嘴里融化……
s01.adv:501	唔唔唔。
s01.adv:502	被、被你这么一说，
s01.adv:503	我也想尝尝了……
s01.adv:505	配绿茶固然不错，可那入口即化的清甜，
