s03.adv:47	……哎呀，真是帮大忙了。
s03.adv:48	多亏有你，才这么快把事情说清楚！
s03.adv:54	哪里哪里！我也没想到，
s03.adv:55	在那屋子里的，
s03.adv:56	竟然是伊纲小姐你们！
s03.adv:65	他是[鞠浜]警署搜查一课的[bw]音成孝一[/bw]刑警。
s03.adv:66	过去，他曾多次和我们一起办案，
s03.adv:67	可以说是并肩作战的伙伴。
s03.adv:68	他很爱把“我的心永远在你身旁！”
s03.adv:69	当作自己的口号，
s03.adv:70	也有那么一点让人招架不住的地方。
s03.adv:77	哎呀，当时我正好
s03.adv:78	和巡逻警员在一起，接到消息后，
s03.adv:79	就跟着来了，结果可真让我吃了一惊！
s03.adv:80	地点是矢口小姐的家，
s03.adv:81	屋里又是[伊綱]小姐你们，
s03.adv:82	我们之间还真有种奇妙的缘分啊！
s03.adv:85	嗯，这个先放一边。
s03.adv:86	就像刚才说的，我们现在，
s03.adv:87	很担心矢口小姐的安全……
s03.adv:89	是的，那个跟踪狂，
s03.adv:90	正赶往[狭稲]温泉，
s03.adv:91	矢口小姐入住的旅馆，对吧！
s03.adv:92	其实，我已经联系了[狭稲]警署的熟人，
s03.adv:93	请他们帮忙确认了！
s03.adv:95	哦，什么时候联系的！
s03.adv:96	音成先生，你做事还挺利落嘛。
s03.adv:98	毕竟很可能涉及犯罪！
s03.adv:99	这种时候，最重要的就是尽快行动！
s03.adv:102	不愧是你，越来越可靠了！
s03.adv:103	还有点帅呢！
s03.adv:105	哎呀，被[伊綱]小姐你们夸奖，
s03.adv:106	怪不好意思的。
s03.adv:107	[狭稲]警署那边应该很快就会回电，
s03.adv:108	在那之前，
s03.adv:109	我们边聊边等吧！
s03.adv:111	咦，这么悠闲，
s03.adv:112	真的没问题吗……
s03.adv:115	不过，这样确实比我们现在赶过去，
s03.adv:116	能更快得到可靠的消息。
s03.adv:117	那就先在这里等吧。
s03.adv:138	对了，你是[鞠浜]警署的刑警，
s03.adv:139	今天怎么会来品方市？
s03.adv:141	其实，我最近正在
s03.adv:142	追查一起案件……
s03.adv:143	可一直找不到线索，
s03.adv:144	所以就出来换换心情……
s03.adv:145	哈哈。
s03.adv:148	啊，我刚才还对你刮目相看了，
s03.adv:149	现在收回。
s03.adv:151	好快！
s03.adv:153	哎呀，这可真叫人头疼。
s03.adv:154	不过，两件事也不完全无关哦。
s03.adv:155	我查的也是[bw]跟踪狂杀人案[/bw]。
s03.adv:158	跟踪狂杀人案啊……
s03.adv:159	不过，麻烦你，
s03.adv:160	别说什么“也是”。
s03.adv:161	太不吉利了。
s03.adv:163	啊，抱歉抱歉。
s03.adv:180	说到跟踪狂杀人案，
s03.adv:181	难道就是上周新闻报道的，
s03.adv:182	东京都内那起案子？
s03.adv:184	哦，不愧是你，消息真灵通。
s03.adv:185	没错，就是上周的那起。
s03.adv:187	就是你刚才提到的案子啊。
s03.adv:188	具体是怎么回事？
s03.adv:190	一名年轻女性独自住在东京都内，
s03.adv:191	有个跟踪狂一直纠缠她，
s03.adv:192	最后，终于酿成了杀人案。
s03.adv:193	听说他强行闯进那名女性的房间，
s03.adv:194	用菜刀把她刺死之后，
s03.adv:195	逃离了现场。
s03.adv:197	天啊，真是惨剧……
s03.adv:198	可既然犯人一直在跟踪她，
s03.adv:199	就没办法事先阻止吗？
s03.adv:201	据说她向警方求助过好几次，
s03.adv:202	但因为没有决定性的证据，
s03.adv:203	所以没能展开调查。
s03.adv:205	说到这个，我们警方也很后悔，
s03.adv:206	总觉得当时，
s03.adv:207	明明还能多做些什么……
s03.adv:209	音成先生倒是很坦诚啊……
s03.adv:210	那么，犯人抓到……[ll]就是没抓到，
s03.adv:211	所以你才在调查，对吧。
s03.adv:213	是的，没错。
s03.adv:216	我看到的新闻也说，
s03.adv:217	犯人目前仍然在逃。
s03.adv:219	真可怕……
s03.adv:225	不不不！
s03.adv:226	这个问题，现在开始努力，
s03.adv:227	还完全来得及弥补吧！
s03.adv:232	那名凶手，真的是
s03.adv:233	一直跟踪被害女性的
s03.adv:234	那个人吗？
s03.adv:235	会不会只是碰巧，
s03.adv:236	遭遇了随机抢劫杀人呢？
s03.adv:238	这一点应该不会有错。
s03.adv:239	被害人以前报案时，
s03.adv:240	曾把自己拍到的跟踪者照片，
s03.adv:241	交给警方……
